Приорбанк Открытое акционерное общество, БИК PJCBBY2X;27.05.2025 16:23:08;
ВЫПИСКА ПО СЧЕТУ BY77PJCB15079786863381112130 С 01.01.2023 ПО 31.12.2023;
Исполнитель**************** 4044;
Дата пред. опер.*********** 30.12.2022;
Счет клиента*************** BY77PJCB75156477590051045225 EUR Пассивный;
Наименование счета********* АЛЬФА СИСТЕМС;

Дата док.;N док.;Код опер;Корреспондент.Код;Корреспондент.Счет;Корреспондент.Название;Номинал.Дебет;Номинал.Кредит;Эквивалент.Дебет;Эквивалент.Кредит;Назначение;
Входящее сальдо  на  30.12.2022;;;EUR;2.9156/1.00;;0,00;139 060,91;0,00;405 445,99;;
04.01.2023;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;8 079,44;0,00;Переоценка ;
05.01.2023;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;0,00;5 117,44;Переоценка ;
06.01.2023;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;0,00;681,40;Переоценка ;
09.01.2023;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;3 893,71;0,00;Переоценка ;
10.01.2023;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;0,00;2 864,66;Переоценка ;
11.01.2023;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;862,18;0,00;Переоценка ;
12.01.2023;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;1 140,30;0,00;Переоценка ;
13.01.2023;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;7 133,82;0,00;Переоценка ;
16.01.2023;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;27,81;0,00;Переоценка ;
17.01.2023;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;0,00;778,74;Переоценка ;
18.01.2023;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;0,00;2 266,69;Переоценка ;
19.01.2023;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;0,00;2 683,88;Переоценка ;
